Episodes,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8,Season 9,Season 10
Episode 1,7.9,8.4,8.3,8.9,8.9,8.6,8.2,8.6,8.5,8.4
Episode 2,8,8,8.9,7.9,8.7,8,8.1,9,8.4,8.7
Episode 3,7.9,8.2,7.8,8.4,8.1,8,7.9,8.6,8.1,8.6
Episode 4,8.3,7.8,7.8,8,8.6,8.3,7.9,9.2,8,8.2
Episode 5,8,8.1,8,8.2,7.8,8,7.9,7.9,8.3,8
Episode 6,8.8,8.4,9,8.4,8.1,8.4,8.7,8.4,8.2,8
Episode 7,7.9,8.9,8.1,8.6,9,8.2,8.3,7.7,8.5,8.1
Episode 8,8.1,8.3,8.2,9,9,8.3,8,8.6,8.7,8.8
Episode 9,7.9,7.8,8.9,7.7,8,9.1,7.9,9.2,8,8.4
Episode 10,8,7.8,8,7.9,9,8.5,8.4,7.9,7.2,7.8
Episode 11,8,7.9,8.4,8.4,8.1,7.9,8.4,7.8,7.8,8.9
Episode 12,8.5,8.5,8,9.4,7.9,7.8,8.5,8.4,7.7,8.8
Episode 13,8.1,8.6,8.1,8,9.7,8.1,8.3,8,8,8.3
Episode 14,8.1,9.3,7.6,8.1,8.4,8.4,8.4,8.2,8,8.4
Episode 15,8,8.7,8.4,8.3,8.5,8.3,8.2,8.1,8.1,8.4
Episode 16,8.3,8.5,9,8,8.3,8.3,8.6,7.9,8,8.8
Episode 17,8.7,8.1,8.2,8.5,7.8,8.9,8.2,8,8.3,9.5
Episode 18,7.9,8.3,8.2,8.1,8.6,8.1,8.2,7.2,8.5,9.6
Episode 19,7.7,8.4,8,8.6,8.1,8.1,8.5,8.1,7.9,
Episode 20,7.6,8,7.9,8.4,8.3,7.1,8.2,8,8.1,
Episode 21,8.1,7.9,8.6,6.9,8.1,8.5,7.2,8.2,8.1,
Episode 22,8.1,8.9,8.1,8.3,8.6,8.9,8.2,8.7,7.6,
Episode 23,8.6,7.9,7.8,8.6,9,8.4,8.7,8.8,8.5,
Episode 24,8.7,8.1,8,9.1,8.8,8.6,9.1,8.4,,
Episode 25,,,8.7,,,9.2,,,,
